"index","date","location","speed","position","daytime","weather","class","source direction","mic","channel"
"617","2019-11-13-08-00","Schleusinger-Allee","70","2043656","M","W","T","L","SE","34"
"618","2019-11-13-08-00","Schleusinger-Allee","70","3267645","M","W","C","L","SE","34"
"619","2019-11-19-08-30","Langewiesener-Strasse","50","143048","M","D","C","R","SE","34"
"620","2019-11-19-07-25","Langewiesener-Strasse","50","1266008","M","D","C","R","SE","34"
"621","2019-11-18-16-40","Langewiesener-Strasse","50","1654616","A","D","C","R","SE","34"
"622","2019-11-19-15-25","Langewiesener-Strasse","50","681864","A","D","C","R","SE","34"
"623","2019-11-13-15-55","Schleusinger-Allee","70","2168322","A","D","C","R","SE","34"
"624","2019-10-22-15-30","Fraunhofer-IDMT","30","1903746","A","D","C","L","SE","34"
"625","2019-11-13-15-30","Schleusinger-Allee","70","721773","A","D","C","R","SE","34"
"626","2019-11-12-09-00","Schleusinger-Allee","70","1481240","M","W","C","L","SE","34"
"627","2019-11-19-07-25","Langewiesener-Strasse","50","2475848","M","D","C","R","SE","34"
"628","2019-11-19-15-25","Langewiesener-Strasse","50","1302616","A","D","C","L","SE","34"
"629","2019-11-12-16-00","Schleusinger-Allee","70","1189784","A","W","C","R","SE","34"
"630","2019-11-13-15-55","Schleusinger-Allee","70","3235976","A","D","C","R","SE","34"
"631","2019-11-19-15-25","Langewiesener-Strasse","50","572384","A","D","C","L","SE","34"
"632","2019-11-18-07-25","Langewiesener-Strasse","50","1801304","M","D","T","R","SE","34"
"633","2019-10-23-08-35","Fraunhofer-IDMT","30","894296","M","D","C","R","SE","34"
"634","2019-11-19-15-25","Langewiesener-Strasse","50","2869954","A","D","C","R","SE","34"
"635","2019-11-18-15-45","Langewiesener-Strasse","50","657895","A","D","T","R","SE","34"
"636","2019-11-18-15-45","Langewiesener-Strasse","50","564679","A","D","C","L","SE","34"
"637","2019-11-18-07-25","Langewiesener-Strasse","50","934232","M","D","C","L","SE","34"
"638","2019-11-13-08-00","Schleusinger-Allee","70","458648","M","W","C","L","SE","34"
"639","2019-11-19-15-25","Langewiesener-Strasse","50","2399853","A","D","C","L","SE","34"
"640","2019-11-12-16-00","Schleusinger-Allee","70","679928","A","W","C","R","SE","34"
"641","2019-11-19-15-25","Langewiesener-Strasse","50","1644584","A","D","C","R","SE","34"
"642","2019-11-19-15-25","Langewiesener-Strasse","50","1212008","A","D","C","L","SE","34"
"643","2019-11-19-15-25","Langewiesener-Strasse","50","583248","A","D","C","L","SE","34"
"644","2019-11-12-09-00","Schleusinger-Allee","70","1290946","M","W","T","R","SE","34"
"645","2019-11-12-09-00","Schleusinger-Allee","70","244333","M","W","T","R","SE","34"
"646","2019-11-19-15-25","Langewiesener-Strasse","50","1889272","A","D","C","L","SE","34"
"647","2019-11-18-15-45","Langewiesener-Strasse","50","2044418","A","D","C","R","SE","34"
"648","2019-11-19-07-25","Langewiesener-Strasse","50","1398464","M","D","C","R","SE","34"
"649","2019-11-18-15-45","Langewiesener-Strasse","50","453704","A","D","C","L","SE","34"
"650","2019-11-13-08-00","Schleusinger-Allee","70","2775368","M","W","C","R","SE","34"
"651","2019-11-18-07-25","Langewiesener-Strasse","50","34893","M","D","B","R","SE","34"
"652","2019-11-18-16-40","Langewiesener-Strasse","50","57346","A","D","C","R","SE","34"
"653","2019-11-19-08-30","Langewiesener-Strasse","50","1126904","M","D","C","R","SE","34"
"654","2019-11-12-10-00","Schleusinger-Allee","70","23960","M","W","C","R","SE","34"
"655","2019-11-13-15-30","Schleusinger-Allee","70","568258","A","D","C","R","SE","34"
"656","2019-11-19-15-25","Langewiesener-Strasse","50","3102850","A","D","C","L","SE","34"
"657","2019-11-12-16-00","Schleusinger-Allee","70","933656","A","W","C","R","SE","34"
"658","2019-10-23-16-20","Fraunhofer-IDMT","30","1669016","A","D","C","L","SE","34"
"659","2019-11-19-15-25","Langewiesener-Strasse","50","2442477","A","D","C","R","SE","34"
"660","2019-11-13-15-30","Schleusinger-Allee","70","1185986","A","D","C","R","SE","34"
"661","2019-11-13-15-55","Schleusinger-Allee","70","968280","A","D","T","R","SE","34"
"662","2019-11-18-15-45","Langewiesener-Strasse","50","1435480","A","D","C","R","SE","34"
"663","2019-11-12-09-00","Schleusinger-Allee","70","2387672","M","W","C","L","SE","34"
"664","2019-11-18-16-40","Langewiesener-Strasse","50","389320","A","D","C","R","SE","34"
"665","2019-10-23-08-35","Fraunhofer-IDMT","30","235544","M","D","C","R","SE","34"
"666","2019-10-22-08-40","Fraunhofer-IDMT","30","3276152","M","D","C","R","SE","34"
"667","2019-11-18-07-25","Langewiesener-Strasse","50","1266248","M","D","C","R","SE","34"
"668","2019-11-13-08-00","Schleusinger-Allee","70","461096","M","W","C","L","SE","34"
"669","2019-11-12-10-00","Schleusinger-Allee","70","1195384","M","W","C","L","SE","34"
"670","2019-11-19-07-25","Langewiesener-Strasse","50","1641344","M","D","C","L","SE","34"
"671","2019-11-18-07-25","Langewiesener-Strasse","50","491768","M","D","C","R","SE","34"
"672","2019-11-19-15-25","Langewiesener-Strasse","50","2810008","A","D","C","L","SE","34"
"673","2019-10-23-16-20","Fraunhofer-IDMT","30","758040","A","D","C","L","SE","34"
"674","2019-11-12-16-00","Schleusinger-Allee","70","613688","A","W","C","R","SE","34"
"675","2019-11-19-15-25","Langewiesener-Strasse","50","3086445","A","D","C","L","SE","34"
"676","2019-11-18-15-45","Langewiesener-Strasse","50","535976","A","D","C","L","SE","34"
"677","2019-11-19-16-30","Langewiesener-Strasse","50","1610600","A","D","T","L","SE","34"
"678","2020-08-29-11-02","Hohenwarte","unknown","1289786","M","D","M","L","SE","12"
"679","2019-11-18-07-25","Langewiesener-Strasse","50","995624","M","D","C","R","SE","34"
"680","2019-11-18-07-25","Langewiesener-Strasse","50","1835000","M","D","C","L","SE","34"
"681","2019-11-18-16-40","Langewiesener-Strasse","50","1072856","A","D","C","L","SE","34"
"682","2019-11-19-08-30","Langewiesener-Strasse","50","665288","M","D","C","L","SE","34"
"683","2019-11-13-15-55","Schleusinger-Allee","70","464920","A","D","C","R","SE","34"
"684","2020-08-29-14-02","Hohenwarte","unknown","5115591","M","D","M","R","SE","12"
"685","2019-11-13-15-55","Schleusinger-Allee","70","2708298","A","D","C","R","SE","34"
"686","2019-11-19-15-25","Langewiesener-Strasse","50","1912664","A","D","C","L","SE","34"
"687","2019-11-18-15-45","Langewiesener-Strasse","50","580328","A","D","C","R","SE","34"
"688","2019-11-12-16-00","Schleusinger-Allee","70","2004226","A","W","C","R","SE","34"
"689","2019-11-19-07-25","Langewiesener-Strasse","50","203192","M","D","C","L","SE","34"
"690","2019-11-18-16-40","Langewiesener-Strasse","50","1416488","A","D","C","R","SE","34"
"691","2019-11-12-10-00","Schleusinger-Allee","70","1197176","M","W","T","R","SE","34"
"692","2019-11-19-15-25","Langewiesener-Strasse","50","2852866","A","D","C","R","SE","34"
"693","2019-11-13-15-55","Schleusinger-Allee","70","2518295","A","D","C","L","SE","34"
"694","2019-11-19-07-25","Langewiesener-Strasse","50","2586824","M","D","T","R","SE","34"
"695","2019-11-19-15-25","Langewiesener-Strasse","50","40664","A","D","T","L","SE","34"
"696","2020-08-29-16-07","Hohenwarte","unknown","694004","M","D","M","R","SE","12"
"697","2019-10-23-08-35","Fraunhofer-IDMT","30","2260696","M","D","C","R","SE","34"
"698","2019-11-19-07-25","Langewiesener-Strasse","50","2975504","M","D","C","L","SE","34"
"699","2019-11-12-16-00","Schleusinger-Allee","70","1430882","A","W","C","R","SE","34"
"700","2019-11-18-07-25","Langewiesener-Strasse","50","91426","M","D","C","R","SE","34"
"701","2019-11-18-16-40","Langewiesener-Strasse","50","2282568","A","D","C","R","SE","34"
"702","2019-11-18-16-40","Langewiesener-Strasse","50","1418504","A","D","T","R","SE","34"
"703","2019-11-19-15-25","Langewiesener-Strasse","50","1718056","A","D","C","R","SE","34"
"704","2019-11-19-07-25","Langewiesener-Strasse","50","1100023","M","D","C","R","SE","34"
"705","2019-11-12-09-00","Schleusinger-Allee","70","1338050","M","W","C","L","SE","34"
"706","2019-11-18-16-40","Langewiesener-Strasse","50","2355592","A","D","C","L","SE","34"
"707","2019-11-19-07-25","Langewiesener-Strasse","50","2831960","M","D","C","R","SE","34"
"708","2019-11-19-16-30","Langewiesener-Strasse","50","797600","A","D","C","R","SE","34"
"709","2019-11-18-16-40","Langewiesener-Strasse","50","1323752","A","D","C","L","SE","34"
"710","2020-08-29-14-02","Hohenwarte","unknown","4590758","M","D","M","L","SE","12"
"711","2020-08-29-12-07","Hohenwarte","unknown","6132873","M","D","M","L","SE","12"
"712","2019-11-12-10-00","Schleusinger-Allee","70","351501","M","W","C","R","SE","34"
"713","2019-11-18-16-40","Langewiesener-Strasse","50","54680","A","D","C","L","SE","34"
"714","2019-11-13-15-55","Schleusinger-Allee","70","2680973","A","D","C","L","SE","34"
"715","2019-11-18-16-40","Langewiesener-Strasse","50","269293","A","D","C","L","SE","34"
"716","2019-11-13-15-55","Schleusinger-Allee","70","250568","A","D","C","R","SE","34"
"717","2020-08-29-12-07","Hohenwarte","unknown","4716626","M","D","M","L","SE","12"
"718","2019-11-13-08-00","Schleusinger-Allee","70","3376360","M","W","C","L","SE","34"
"719","2019-11-12-16-00","Schleusinger-Allee","70","2178840","A","W","C","L","SE","34"
"720","2019-11-19-07-25","Langewiesener-Strasse","50","1840208","M","D","C","R","SE","34"
"721","2019-11-19-15-25","Langewiesener-Strasse","50","511045","A","D","C","R","SE","34"
"722","2019-11-12-09-00","Schleusinger-Allee","70","2957442","M","W","T","R","SE","34"
"723","2019-11-18-15-45","Langewiesener-Strasse","50","2096106","A","D","C","R","SE","34"
"724","2019-11-13-15-55","Schleusinger-Allee","70","1285581","A","D","C","L","SE","34"
"725","2019-11-18-15-45","Langewiesener-Strasse","50","807464","A","D","C","R","SE","34"
"726","2019-11-13-15-55","Schleusinger-Allee","70","1369026","A","D","C","L","SE","34"
"727","2019-11-19-07-25","Langewiesener-Strasse","50","2986256","M","D","C","R","SE","34"
"728","2019-11-13-15-55","Schleusinger-Allee","70","3341208","A","D","C","L","SE","34"
"729","2019-11-13-15-55","Schleusinger-Allee","70","1712600","A","D","C","L","SE","34"
"730","2019-11-19-16-30","Langewiesener-Strasse","50","1542032","A","D","C","R","SE","34"
"731","2019-11-18-07-25","Langewiesener-Strasse","50","999704","M","D","C","R","SE","34"
"732","2019-10-22-16-35","Fraunhofer-IDMT","30","1477698","A","D","C","R","SE","34"
"733","2019-10-23-16-20","Fraunhofer-IDMT","30","1749368","A","D","C","L","SE","34"
"734","2019-11-19-07-25","Langewiesener-Strasse","50","469026","M","D","C","L","SE","34"
"735","2019-11-19-16-30","Langewiesener-Strasse","50","327656","A","D","C","R","SE","34"
"736","2019-11-19-16-30","Langewiesener-Strasse","50","285560","A","D","C","R","SE","34"
"737","2019-11-19-16-30","Langewiesener-Strasse","50","982904","A","D","C","L","SE","34"
"738","2019-11-13-08-00","Schleusinger-Allee","70","97304","M","W","C","L","SE","34"
"739","2019-10-23-16-20","Fraunhofer-IDMT","30","501368","A","D","C","R","SE","34"
"740","2020-08-29-16-07","Hohenwarte","unknown","1543993","M","D","M","R","SE","12"
"741","2019-11-19-08-30","Langewiesener-Strasse","50","487496","M","D","C","L","SE","34"
"742","2019-11-12-09-00","Schleusinger-Allee","70","3344504","M","W","C","L","SE","34"
"743","2019-11-12-09-00","Schleusinger-Allee","70","2422616","M","W","C","L","SE","34"
"744","2019-11-12-09-00","Schleusinger-Allee","70","1828568","M","W","C","L","SE","34"
"745","2019-11-19-15-25","Langewiesener-Strasse","50","2709719","A","D","C","R","SE","34"
"746","2019-11-18-07-25","Langewiesener-Strasse","50","509576","M","D","C","R","SE","34"
"747","2019-11-13-15-55","Schleusinger-Allee","70","2506690","A","D","C","L","SE","34"
"748","2019-11-19-16-30","Langewiesener-Strasse","50","789776","A","D","C","R","SE","34"
"749","2019-11-18-15-45","Langewiesener-Strasse","50","314456","A","D","B","R","SE","34"
"750","2019-11-19-16-30","Langewiesener-Strasse","50","204872","A","D","C","L","SE","34"
"751","2019-11-19-07-25","Langewiesener-Strasse","50","398120","M","D","C","R","SE","34"
"752","2019-10-22-15-30","Fraunhofer-IDMT","30","1203970","A","D","C","L","SE","34"
"753","2019-11-13-15-55","Schleusinger-Allee","70","2136621","A","D","C","R","SE","34"
"754","2019-11-18-15-45","Langewiesener-Strasse","50","1917690","A","D","C","R","SE","34"
"755","2019-11-19-07-25","Langewiesener-Strasse","50","2670679","M","D","C","L","SE","34"
"756","2019-10-23-16-20","Fraunhofer-IDMT","30","2243096","A","D","C","R","SE","34"
"757","2019-11-18-16-40","Langewiesener-Strasse","50","1199528","A","D","T","L","SE","34"
"758","2019-10-22-08-40","Fraunhofer-IDMT","30","903277","M","D","C","L","SE","34"
"759","2019-10-22-16-35","Fraunhofer-IDMT","30","546648","A","D","C","L","SE","34"
"760","2019-11-13-08-00","Schleusinger-Allee","70","1680200","M","W","C","L","SE","34"
"761","2019-11-13-15-55","Schleusinger-Allee","70","257336","A","D","C","R","SE","34"
"762","2019-11-19-15-25","Langewiesener-Strasse","50","3251394","A","D","C","L","SE","34"
"763","2019-11-18-15-45","Langewiesener-Strasse","50","2714864","A","D","T","L","SE","34"
"764","2019-11-12-10-00","Schleusinger-Allee","70","1017826","M","W","C","L","SE","34"
"765","2019-10-23-16-20","Fraunhofer-IDMT","30","1243586","A","D","C","L","SE","34"
"766","2019-11-13-15-55","Schleusinger-Allee","70","2314690","A","D","C","R","SE","34"
"767","2019-11-13-15-55","Schleusinger-Allee","70","140440","A","D","C","R","SE","34"
"768","2019-11-18-16-40","Langewiesener-Strasse","50","1924408","A","D","T","R","SE","34"
"769","2019-11-19-07-25","Langewiesener-Strasse","50","2123696","M","D","C","L","SE","34"
"770","2019-11-13-08-00","Schleusinger-Allee","70","1272728","M","W","C","L","SE","34"
"771","2019-11-19-08-30","Langewiesener-Strasse","50","1067576","M","D","C","R","SE","34"
"772","2019-11-13-15-55","Schleusinger-Allee","70","1074573","A","D","C","R","SE","34"
"773","2019-11-18-15-45","Langewiesener-Strasse","50","799064","A","D","C","R","SE","34"
"774","2019-11-13-08-00","Schleusinger-Allee","70","2198312","M","W","C","L","SE","34"
"775","2019-11-18-16-40","Langewiesener-Strasse","50","94568","A","D","C","R","SE","34"
"776","2019-11-19-07-25","Langewiesener-Strasse","50","2160728","M","D","C","R","SE","34"
"777","2019-11-12-09-00","Schleusinger-Allee","70","2664984","M","W","C","L","SE","34"
"778","2019-11-19-07-25","Langewiesener-Strasse","50","1228376","M","D","C","L","SE","34"
"779","2019-11-13-15-55","Schleusinger-Allee","70","3144992","A","D","T","L","SE","34"
"780","2019-11-19-15-25","Langewiesener-Strasse","50","1940152","A","D","C","R","SE","34"
"781","2019-11-18-15-45","Langewiesener-Strasse","50","65026","A","D","C","L","SE","34"
"782","2019-11-13-15-55","Schleusinger-Allee","70","1297528","A","D","C","R","SE","34"
"783","2019-11-13-08-00","Schleusinger-Allee","70","1789064","M","W","C","L","SE","34"
"784","2019-11-13-08-00","Schleusinger-Allee","70","1753928","M","W","C","L","SE","34"
"785","2019-11-13-15-55","Schleusinger-Allee","70","646696","A","D","T","R","SE","34"
"786","2019-11-12-10-00","Schleusinger-Allee","70","65560","M","W","C","L","SE","34"
"787","2019-11-13-15-55","Schleusinger-Allee","70","2900994","A","D","C","R","SE","34"
"788","2019-11-18-15-45","Langewiesener-Strasse","50","1433293","A","D","C","L","SE","34"
"789","2019-11-13-08-00","Schleusinger-Allee","70","1233272","M","W","C","L","SE","34"
"790","2019-11-13-08-00","Schleusinger-Allee","70","154904","M","W","C","L","SE","34"
"791","2019-11-19-07-25","Langewiesener-Strasse","50","62024","M","D","C","R","SE","34"
"792","2020-08-29-14-02","Hohenwarte","unknown","1310972","M","D","M","L","SE","12"
"793","2019-11-19-08-30","Langewiesener-Strasse","50","822392","M","D","C","R","SE","34"
"794","2019-11-19-15-25","Langewiesener-Strasse","50","1727976","A","D","T","L","SE","34"
"795","2019-11-19-08-30","Langewiesener-Strasse","50","926888","M","D","T","L","SE","34"
"796","2019-11-18-07-25","Langewiesener-Strasse","50","271053","M","D","C","R","SE","34"
"797","2019-11-19-16-30","Langewiesener-Strasse","50","958160","A","D","C","L","SE","34"
"798","2019-11-13-08-00","Schleusinger-Allee","70","1356872","M","W","C","L","SE","34"
"799","2019-11-13-15-30","Schleusinger-Allee","70","1063533","A","D","C","R","SE","34"
"800","2019-11-18-15-45","Langewiesener-Strasse","50","1006520","A","D","C","L","SE","34"
"801","2019-11-13-15-55","Schleusinger-Allee","70","2997258","A","D","C","R","SE","34"
"802","2019-11-13-15-55","Schleusinger-Allee","70","1626754","A","D","C","L","SE","34"
"803","2019-11-18-16-40","Langewiesener-Strasse","50","406829","A","D","C","R","SE","34"
"804","2019-11-19-15-25","Langewiesener-Strasse","50","208496","A","D","C","L","SE","34"
"805","2019-11-18-15-45","Langewiesener-Strasse","50","1171309","A","D","C","L","SE","34"
"806","2019-11-18-16-40","Langewiesener-Strasse","50","410936","A","D","T","R","SE","34"
"807","2019-11-18-15-45","Langewiesener-Strasse","50","684631","A","D","T","R","SE","34"
"808","2019-10-22-15-30","Fraunhofer-IDMT","30","1983714","A","D","C","R","SE","34"
"809","2019-11-19-08-30","Langewiesener-Strasse","50","228992","M","D","C","L","SE","34"
"810","2019-10-23-08-35","Fraunhofer-IDMT","30","3421528","M","D","C","L","SE","34"
"811","2019-11-13-08-00","Schleusinger-Allee","70","2628573","M","W","C","L","SE","34"
"812","2019-11-12-09-00","Schleusinger-Allee","70","3061304","M","W","C","L","SE","34"
"813","2019-11-18-15-45","Langewiesener-Strasse","50","249773","A","D","C","L","SE","34"
"814","2019-11-12-16-00","Schleusinger-Allee","70","1367768","A","W","C","R","SE","34"
"815","2020-08-29-12-07","Hohenwarte","unknown","4513033","M","D","M","R","SE","12"
"816","2019-11-19-15-25","Langewiesener-Strasse","50","1129976","A","D","C","L","SE","34"
"817","2019-11-19-07-25","Langewiesener-Strasse","50","2859656","M","D","C","R","SE","34"
"818","2019-11-18-16-40","Langewiesener-Strasse","50","1166407","A","D","C","R","SE","34"
"819","2019-11-19-07-25","Langewiesener-Strasse","50","1163071","M","D","B","R","SE","34"
"820","2019-11-19-16-30","Langewiesener-Strasse","50","1218728","A","D","C","R","SE","34"
"821","2019-11-13-15-55","Schleusinger-Allee","70","2747536","A","D","C","R","SE","34"
"822","2020-08-29-12-07","Hohenwarte","unknown","6129093","M","D","M","L","SE","12"
"823","2020-08-29-16-07","Hohenwarte","unknown","3883576","M","D","M","L","SE","12"
"824","2019-11-13-15-55","Schleusinger-Allee","70","2954176","A","D","C","R","SE","34"
"825","2019-11-13-15-55","Schleusinger-Allee","70","3552450","A","D","C","R","SE","34"
"826","2019-11-18-15-45","Langewiesener-Strasse","50","1915544","A","D","C","R","SE","34"
"827","2019-11-12-16-00","Schleusinger-Allee","70","834008","A","W","C","L","SE","34"
"828","2019-10-23-08-35","Fraunhofer-IDMT","30","312770","M","D","C","R","SE","34"
"829","2019-11-19-07-25","Langewiesener-Strasse","50","612050","M","D","T","R","SE","34"
"830","2019-10-23-16-20","Fraunhofer-IDMT","30","257576","A","D","C","L","SE","34"
"831","2019-11-19-16-30","Langewiesener-Strasse","50","1843184","A","D","T","L","SE","34"
"832","2019-11-19-15-25","Langewiesener-Strasse","50","2284034","A","D","C","L","SE","34"
"833","2019-11-18-16-40","Langewiesener-Strasse","50","870680","A","D","C","L","SE","34"
"834","2019-11-18-16-40","Langewiesener-Strasse","50","2379448","A","D","C","R","SE","34"
"835","2019-11-19-16-30","Langewiesener-Strasse","50","293983","A","D","C","L","SE","34"
"836","2019-10-22-08-40","Fraunhofer-IDMT","30","41346","M","D","C","R","SE","34"
"837","2019-11-18-07-25","Langewiesener-Strasse","50","479768","M","D","T","L","SE","34"
"838","2019-11-18-16-40","Langewiesener-Strasse","50","170453","A","D","C","L","SE","34"
"839","2019-11-19-07-25","Langewiesener-Strasse","50","494973","M","D","C","L","SE","34"
"840","2019-11-18-15-45","Langewiesener-Strasse","50","134680","A","D","C","R","SE","34"
"841","2019-11-19-07-25","Langewiesener-Strasse","50","1607168","M","D","C","L","SE","34"
"842","2019-11-19-07-25","Langewiesener-Strasse","50","537794","M","D","C","R","SE","34"
"843","2019-11-12-16-00","Schleusinger-Allee","70","991544","A","W","C","R","SE","34"
"844","2019-11-12-10-00","Schleusinger-Allee","70","137240","M","W","C","L","SE","34"
"845","2019-10-22-15-30","Fraunhofer-IDMT","30","2931309","A","D","C","L","SE","34"
"846","2019-11-12-16-00","Schleusinger-Allee","70","335576","A","W","C","R","SE","34"
"847","2019-10-22-08-40","Fraunhofer-IDMT","30","1884760","M","D","C","R","SE","34"
"848","2019-11-18-07-25","Langewiesener-Strasse","50","990296","M","D","C","R","SE","34"
"849","2019-11-13-08-00","Schleusinger-Allee","70","1608728","M","W","C","L","SE","34"
"850","2019-11-13-15-55","Schleusinger-Allee","70","1477122","A","D","C","R","SE","34"
"851","2019-11-13-08-00","Schleusinger-Allee","70","2677853","M","W","C","L","SE","34"
"852","2019-11-19-08-30","Langewiesener-Strasse","50","503048","M","D","C","R","SE","34"
"853","2019-10-23-08-35","Fraunhofer-IDMT","30","1776728","M","D","C","R","SE","34"
"854","2019-11-13-15-55","Schleusinger-Allee","70","235640","A","D","C","R","SE","34"
"855","2019-11-19-15-25","Langewiesener-Strasse","50","256133","A","D","T","R","SE","34"
"856","2019-11-12-16-00","Schleusinger-Allee","70","1793624","A","W","C","L","SE","34"
"857","2019-11-13-08-00","Schleusinger-Allee","70","723032","M","W","B","R","SE","34"
"858","2019-11-19-08-30","Langewiesener-Strasse","50","266648","M","D","C","R","SE","34"
"859","2019-11-18-16-40","Langewiesener-Strasse","50","1711160","A","D","C","L","SE","34"
"860","2019-11-19-08-30","Langewiesener-Strasse","50","96536","M","D","C","R","SE","34"
"861","2019-11-12-09-00","Schleusinger-Allee","70","2190391","M","W","C","L","SE","34"
"862","2019-10-22-16-35","Fraunhofer-IDMT","30","1214232","A","D","C","L","SE","34"
"863","2019-11-13-08-00","Schleusinger-Allee","70","2181752","M","W","T","L","SE","34"
"864","2019-11-12-09-00","Schleusinger-Allee","70","1127960","M","W","C","R","SE","34"
"865","2020-08-29-12-07","Hohenwarte","unknown","6055936","M","D","M","L","SE","12"
"866","2019-11-19-08-30","Langewiesener-Strasse","50","1558466","M","D","C","R","SE","34"
"867","2019-11-19-08-30","Langewiesener-Strasse","50","616184","M","D","C","R","SE","34"
"868","2019-11-19-16-30","Langewiesener-Strasse","50","696535","A","D","T","R","SE","34"
"869","2019-11-19-15-25","Langewiesener-Strasse","50","3126786","A","D","C","L","SE","34"
"870","2019-11-12-09-00","Schleusinger-Allee","70","678573","M","W","C","R","SE","34"
"871","2019-11-13-15-30","Schleusinger-Allee","70","649154","A","D","C","L","SE","34"
"872","2019-11-12-16-00","Schleusinger-Allee","70","1901080","A","W","C","R","SE","34"
"873","2019-11-19-15-25","Langewiesener-Strasse","50","1139768","A","D","C","L","SE","34"
"874","2019-11-18-15-45","Langewiesener-Strasse","50","886328","A","D","C","L","SE","34"
"875","2019-11-19-15-25","Langewiesener-Strasse","50","1370824","A","D","C","R","SE","34"
"876","2019-11-12-16-00","Schleusinger-Allee","70","1240280","A","W","T","L","SE","34"
"877","2019-11-19-15-25","Langewiesener-Strasse","50","1368536","A","D","C","R","SE","34"
"878","2019-11-19-15-25","Langewiesener-Strasse","50","283965","A","D","C","L","SE","34"
"879","2019-11-19-08-30","Langewiesener-Strasse","50","211664","M","D","C","R","SE","34"
"880","2020-08-29-12-07","Hohenwarte","unknown","265000","M","D","M","R","SE","12"
"881","2019-11-18-15-45","Langewiesener-Strasse","50","2719832","A","D","C","L","SE","34"
"882","2019-10-23-08-35","Fraunhofer-IDMT","30","2872984","M","D","C","R","SE","34"
"883","2019-11-12-09-00","Schleusinger-Allee","70","821752","M","W","T","L","SE","34"
"884","2019-11-13-08-00","Schleusinger-Allee","70","2020280","M","W","C","L","SE","34"
"885","2019-11-13-08-00","Schleusinger-Allee","70","749480","M","W","C","L","SE","34"
"886","2020-08-29-16-07","Hohenwarte","unknown","337860","M","D","M","R","SE","12"
"887","2019-11-18-15-45","Langewiesener-Strasse","50","2146264","A","D","C","L","SE","34"
"888","2019-11-19-07-25","Langewiesener-Strasse","50","2049632","M","D","C","L","SE","34"
"889","2019-11-13-08-00","Schleusinger-Allee","70","2076679","M","W","C","R","SE","34"
"890","2020-08-29-12-07","Hohenwarte","unknown","139160","M","D","M","R","SE","12"
"891","2019-11-18-07-25","Langewiesener-Strasse","50","1295336","M","D","C","L","SE","34"
"892","2019-11-19-15-25","Langewiesener-Strasse","50","1280215","A","D","C","R","SE","34"
"893","2019-11-19-15-25","Langewiesener-Strasse","50","2495448","A","D","T","L","SE","34"
"894","2019-10-23-16-20","Fraunhofer-IDMT","30","437816","A","D","C","L","SE","34"
"895","2019-11-12-09-00","Schleusinger-Allee","70","1005730","M","W","C","L","SE","34"
"896","2019-11-19-16-30","Langewiesener-Strasse","50","1952816","A","D","C","R","SE","34"
"897","2019-11-13-08-00","Schleusinger-Allee","70","3317560","M","W","C","L","SE","34"
"898","2019-11-18-16-40","Langewiesener-Strasse","50","1906552","A","D","C","R","SE","34"
"899","2019-11-12-16-00","Schleusinger-Allee","70","795512","A","W","C","L","SE","34"
"900","2019-11-13-15-30","Schleusinger-Allee","70","236760","A","D","T","L","SE","34"
"901","2019-10-22-15-30","Fraunhofer-IDMT","30","107800","A","D","C","R","SE","34"
"902","2019-11-18-16-40","Langewiesener-Strasse","50","1787864","A","D","C","L","SE","34"
"903","2020-08-29-14-02","Hohenwarte","unknown","3291720","M","D","M","L","SE","12"
"904","2019-11-19-16-30","Langewiesener-Strasse","50","1246016","A","D","C","L","SE","34"
"905","2020-08-29-14-02","Hohenwarte","unknown","1530700","M","D","M","L","SE","12"
"906","2020-08-29-12-07","Hohenwarte","unknown","6044669","M","D","M","L","SE","12"
"907","2019-11-19-16-30","Langewiesener-Strasse","50","1074224","A","D","C","R","SE","34"
"908","2019-11-19-07-25","Langewiesener-Strasse","50","2496871","M","D","B","R","SE","34"
"909","2019-11-18-07-25","Langewiesener-Strasse","50","361826","M","D","C","R","SE","34"
"910","2019-11-19-07-25","Langewiesener-Strasse","50","3413912","M","D","B","L","SE","34"
"911","2019-11-19-07-25","Langewiesener-Strasse","50","961472","M","D","C","L","SE","34"
"912","2019-11-19-16-30","Langewiesener-Strasse","50","1407968","A","D","C","R","SE","34"
"913","2019-11-18-16-40","Langewiesener-Strasse","50","780920","A","D","C","L","SE","34"
"914","2019-11-12-16-00","Schleusinger-Allee","70","1131704","A","W","T","L","SE","34"
"915","2019-11-13-15-55","Schleusinger-Allee","70","1453250","A","D","C","R","SE","34"
"916","2019-11-18-15-45","Langewiesener-Strasse","50","1814680","A","D","C","R","SE","34"
"917","2019-11-13-15-30","Schleusinger-Allee","70","822466","A","D","C","R","SE","34"
"918","2019-11-12-09-00","Schleusinger-Allee","70","1750712","M","W","C","L","SE","34"
"919","2019-11-12-16-00","Schleusinger-Allee","70","409496","A","W","C","R","SE","34"
"920","2019-10-22-08-40","Fraunhofer-IDMT","30","1419885","M","D","C","L","SE","34"
"921","2019-11-12-09-00","Schleusinger-Allee","70","81239","M","W","C","L","SE","34"
"922","2019-10-22-08-40","Fraunhofer-IDMT","30","2855298","M","D","C","R","SE","34"
"923","2019-10-23-16-20","Fraunhofer-IDMT","30","1005421","A","D","C","L","SE","34"
"924","2020-08-29-14-02","Hohenwarte","unknown","5199030","M","D","M","L","SE","12"
